Country_Name,Country_Code,Percent,Net Enrollment 2017,Population 2017
Aruba,ABW,NULL,NULL,105361
Africa Eastern and Southern,AFE,17.36745212,NULL,626392880
Afghanistan,AFG,11.69661866,NULL,36296111
Africa Western and Central,AFW,16.33996964,NULL,423769930
Angola,AGO,6.91961235,NULL,29816769
Albania,ALB,13.43351758,95.53947,2873457
Andorra,AND,13.46191978,NULL,76997
Arab World,ARB,12.22614736,83.76548,411942825
United Arab Emirates,ARE,12.67881966,95.02753,9487206
Argentina,ARG,12.53734876,99.184,44044811
Armenia,ARM,1.12288818,91.94625,2944789
American Samoa,ASM,NULL,NULL,55617
Antigua and Barbuda,ATG,9.932268524,94.19429,95425
Australia,AUS,13.47729154,96.38096,24601860
Austria,AUT,1.719424334,88.61718,8797566
Azerbaijan,AZE,11.48322143,93.7475,9854033
Burundi,BDI,21.22216661,94.87551,10827010
Belgium,BEL,12.21549988,98.76482,11375158
Benin,BEN,17.7918832,97.03352,11175192
Burkina Faso,BFA,22.66116952,76.42387,19193236
Bangladesh,BGD,11.84475444,NULL,159685421
Bulgaria,BGR,NULL,86.4454,7075947
Bahrain,BHR,9.893433228,97.27864,1494077
"Bahamas, The",BHS,11.43671131,NULL,381749
Bosnia and Herzegovina,BIH,NULL,NULL,3351534
Belarus,BLR,16.53841611,95.61727,9458989
Belize,BLZ,22.22264514,96.18248,375775
Bermuda,BMU,NULL,NULL,63873
Bolivia,BOL,19.12288818,90.87779,11192853
Brazil,BRA,16.1483593,96.29925,207833825
Barbados,BRB,16.58196386,94.99257,286229
Brunei Darussalam,BRN,NULL,93.53285,424481
Bhutan,BTN,21.87844857,87.42576,745563
Botswana,BWA,15.68711243,NULL,2205076
Central African Republic,CAF,9.797812462,NULL,4596023
Canada,CAN,NULL,99.8825,36545236
Central Europe and the Baltics,CEB,1.819974877,91.3002,102740078
Switzerland,CHE,15.53279973,93.19583,8451840
Channel Islands,CHI,NULL,NULL,168666
Chile,CHL,21.36669794,94.74067,18470435
China,CHN,11.22999954,NULL,1396215000
Cote d'Ivoire,CIV,18.28893754,85.57232,24437475
Cameroon,CMR,16.88315964,92.87395,24566070
"Congo, Dem. Rep.",COD,NULL,NULL,81398765
"Congo, Rep.",COG,18.28824615,NULL,5110701
Colombia,COL,14.74662971,93.13491,48909844
Comoros,COM,NULL,79.83747,813890
Cabo Verde,CPV,17.56854573,92.86236,537499
Costa Rica,CRI,26.86669922,96.34224,4949955
Caribbean small states,CSS,14.1778698,88.34162,7314956
Cuba,CUB,NULL,95.57823,11339255
Curacao,CUW,NULL,NULL,160175
Cayman Islands,CYM,NULL,NULL,63382
Cyprus,CYP,NULL,97.49342,1179685
Czech Republic,CZE,1.589197159,89.3503,10594438
Germany,DEU,11.22558215,90.14286,82657002
Djibouti,DJI,13.99153418,59.96016,944100
Dominica,DMA,1.666171224,NULL,71460
Denmark,DNK,13.4382,98.53748,5764980
Dominican Republic,DOM,22.34151773,92.87434,10513111
Algeria,DZA,16.54919521,97.5883,41389174
East Asia & Pacific (excluding high income),EAP,14.49953445,NULL,2077988679
Early-demographic dividend,EAR,16.23362446,90.26593,3206485623
East Asia & Pacific,EAS,16.53417969,NULL,2324120551
Europe & Central Asia (excluding high income),ECA,13.76976538,91.98788,395257485
