Country_Name,Country_Code,Percent
Aruba,ABW,
Africa Eastern and Southern,AFE,17.36745212
Afghanistan,AFG,11.69661866
Africa Western and Central,AFW,16.33996964
Angola,AGO,6.91961235
Albania,ALB,13.43351758
Andorra,AND,13.46191978
Arab World,ARB,12.22614736
United Arab Emirates,ARE,12.67881966
Argentina,ARG,12.53734876
Armenia,ARM,1.12288818
American Samoa,ASM,
Antigua and Barbuda,ATG,9.932268524
Australia,AUS,13.47729154
Austria,AUT,1.719424334
Azerbaijan,AZE,11.48322143
Burundi,BDI,21.22216661
Belgium,BEL,12.21549988
Benin,BEN,17.7918832
Burkina Faso,BFA,22.66116952
Bangladesh,BGD,11.84475444
Bulgaria,BGR,
Bahrain,BHR,9.893433228
"Bahamas, The",BHS,11.43671131
Bosnia and Herzegovina,BIH,
Belarus,BLR,16.53841611
Belize,BLZ,22.22264514
Bermuda,BMU,
Bolivia,BOL,19.12288818
Brazil,BRA,16.1483593
Barbados,BRB,16.58196386
Brunei Darussalam,BRN,
Bhutan,BTN,21.87844857
Botswana,BWA,15.68711243
Central African Republic,CAF,9.797812462
Canada,CAN,
Central Europe and the Baltics,CEB,1.819974877
Switzerland,CHE,15.53279973
Channel Islands,CHI,
Chile,CHL,21.36669794
China,CHN,11.22999954
Cote d'Ivoire,CIV,18.28893754
Cameroon,CMR,16.88315964
"Congo, Dem. Rep.",COD,
"Congo, Rep.",COG,18.28824615
Colombia,COL,14.74662971
Comoros,COM,
Cabo Verde,CPV,17.56854573
Costa Rica,CRI,26.86669922
Caribbean small states,CSS,14.1778698
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,
Czech Republic,CZE,1.589197159
Germany,DEU,11.22558215
Djibouti,DJI,13.99153418
Dominica,DMA,1.666171224
Denmark,DNK,13.4382
Dominican Republic,DOM,22.34151773
Algeria,DZA,16.54919521
East Asia & Pacific (excluding high income),EAP,14.49953445
Early-demographic dividend,EAR,16.23362446
East Asia & Pacific,EAS,16.53417969
Europe & Central Asia (excluding high income),ECA,13.76976538
Europe & Central Asia,ECS,11.74643993
Ecuador,ECU,11.68184682
"Egypt, Arab Rep.",EGY,12.26228882
Euro area,EMU,11.1865449
Eritrea,ERI,
Spain,ESP,1.332974285
Estonia,EST,13.35336971
Ethiopia,ETH,24.15567444
European Union,EUU,11.11289978
Fragile and conflict affected situations,FCS,14.64414244
Finland,FIN,11.74643993
